416 -0.363204
237 -1.84358
363 0.283476
436 -0.0828989
240 -0.852435
444 1.17985
507 1.50494
382 0.294536
426 -1.91371
154 -1.84123
248 0.718066
172 2.09154
255 0.277495
211 0.96961
259 0.0948126
254 -0.0807218
260 -1.89975
397 0.792359
628 0.720903
628 -0.32418
306 0.285233
693 0.561093
252 -0.0053714
400 -1.32431
423 -0.800546
258 -0.257681
268 1.21814
409 1.47019
356 -0.569406
235 -1.04451
280 0.351376
449 0.733786
335 2.04159
331 2.19221
259 -1.13155
330 1.23182
185 -1.22974
271 0.466256
444 0.0371889
583 -1.90723
415 -1.56894
235 0.122025
274 0.120261
476 -2.00057
361 0.0955782
415 -0.349221
354 -1.09468
235 -1.29621
525 -0.659031
150 0.644438
369 -2.33252
323 -0.485138
235 0.570331
294 0.235823
320 -1.58555
327 -0.694502
