415 192.079764932
236 182.465203752
362 187.502410739
435 188.900753709
239 180.749811294
443 185.704831915
506 203.268306832
381 172.187950707
425 183.96180283
153 182.478790897
247 189.398539432
171 201.011674662
254 183.177183764
210 183.731857083
258 203.664409259
253 204.395593476
259 196.819965416
396 174.865971082
627 182.966612024
627 184.769613819
305 202.054724892
692 187.733648738
251 198.807294818
399 175.88205673
422 187.321263849
257 182.181981178
267 178.919168884
408 178.328243664
355 186.775222321
234 198.532150453
279 196.581296146
448 182.170475984
334 183.450316361
330 173.807904582
258 183.937683354
329 172.535741962
184 196.267303991
270 185.985883541
443 185.016169038
582 169.104069643
414 177.812769873
234 196.841466519
273 186.49570646
475 187.749798963
360 187.538192291
414 190.17694706
353 186.188406435
234 187.431241542
524 183.320805696
149 186.421588456
368 190.2475745
322 185.821032574
234 179.428963633
293 185.386081568
319 193.538573484
326 171.8968043
