415 177.941289273
236 197.250623049
362 197.538757149
435 169.6190448
239 195.969158173
443 202.882373504
506 143.709371798
381 162.179024172
425 128.593568136
153 190.954876437
247 194.420634518
171 192.457505405
254 184.138595932
210 181.403996147
258 149.741132764
253 191.448804139
259 147.661678502
396 197.902659442
627 204.614261025
627 161.858452105
305 176.610184385
692 180.037185601
251 213.126502684
399 170.23069465
422 192.5326017
257 174.303116718
267 141.905694009
408 181.206248619
355 142.591771769
234 150.407399862
279 194.788495558
448 194.621343261
334 148.822734608
330 154.072578028
258 186.236837214
329 140.279958685
184 211.151321451
270 183.950120938
443 177.335345871
582 187.132495206
414 215.937553635
234 181.457244222
273 201.039375193
475 170.619286021
360 145.575218437
414 208.439909949
353 147.759424697
234 200.89671922
524 168.125634475
149 191.178566448
368 203.639671141
322 142.854030415
234 174.650356564
293 142.836819733
319 165.957570941
326 203.231004853
