297 184.34599271
221 181.428556485
252 195.325727525
473 164.873785592
364 182.285498126
438 181.491573664
342 187.808519126
354 189.70828141
266 178.210155264
213 178.361864725
197 193.600126806
248 191.797960818
324 180.128065385
559 182.451130832
374 173.661149322
156 165.104415798
367 182.143291184
253 197.236966196
278 183.190703086
351 184.79901043
261 194.527010667
199 188.216777925
682 177.953776234
250 179.663645101
634 178.790816858
394 191.924283066
527 209.263099897
248 194.546247532
257 190.943617477
385 185.987070803
177 205.185681478
163 189.481781205
284 168.083796008
224 194.859848397
282 193.464313178
446 172.451127671
237 176.806540373
290 185.396819194
438 175.675886491
286 173.379933467
332 196.658869016
276 180.604619792
341 177.022774083
376 199.445574798
641 190.683969016
322 172.039093782
219 183.704515674
537 195.791575444
561 195.674834097
255 193.172369077
319 181.208298704
355 190.819465729
443 168.548823089
430 180.833926431
497 175.381578278
423 198.515649788
276 175.018052463
367 188.662780202
553 186.675902302
515 185.592455835
236 176.298340708
428 190.306411372
